Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location
Boys Varsity Football vs Brunswick,9/30/2026,,9/30/2026,,True,,Foltz Field
Boys Varsity Football vs Upper Arlington,10/3/2026,,10/3/2026,,True,,Foltz Field
Boys Varsity Football vs Euclid,10/7/2026,,10/7/2026,,True,,Foltz Field
Boys Varsity Football at Medina,10/14/2026,,10/14/2026,,True,,Memorial Soccer Stadium
Boys Varsity Football at Perrysburg,10/17/2026,,10/17/2026,,True,,Perrysburg High School
Boys JV Football vs Avon Lake,8/22/2026,,8/22/2026,,True,,Strongsville High School Football Stadium
Boys JV Football at Highland,8/29/2026,,8/29/2026,,True,,Medina Highland Middle School
Boys JV Football vs Olmsted Falls,9/5/2026,,9/5/2026,,True,,Strongsville High School Football Stadium
Boys JV Football at Cleveland Heights,9/12/2026,,9/12/2026,,True,,Cleveland Heights High School
Boys JV Football vs Euclid,9/19/2026,,9/19/2026,,True,,Strongsville High School Football Stadium
Boys JV Football vs Painesville RIverside,9/26/2026,,9/26/2026,,True,,Strongsville High School Football Stadium
Boys JV Football at Mentor,10/3/2026,,10/3/2026,,True,,Mentor High School
Boys JV Football at Lorain,10/10/2026,,10/10/2026,,True,,Lorain High School
Boys JV Football vs Shaker Heights,10/17/2026,,10/17/2026,,True,,Strongsville High School Football Stadium
Boys JV Football at Brunswick,10/24/2026,,10/24/2026,,True,,Brunswick High School
Boys JV Football vs Avon Lake,8/22/2026,,8/22/2026,,True,,Strongsville
Boys JV Football vs Euclid,9/19/2026,,9/19/2026,,True,,Strongsville
Boys JV Football at Highland,8/29/2026,,8/29/2026,,True,,Highland
Boys JV Football vs Riverside,9/26/2026,,9/26/2026,,True,,Strongsville
Boys JV Football vs Olmsted Falls,9/5/2026,,9/5/2026,,True,,Strongsville
Boys JV Football at Mentor,10/3/2026,,10/3/2026,,True,,Mentor
Boys JV Football at Cleveland Heights,9/12/2026,,9/12/2026,,True,,Cleveland Heights
Boys JV Football at Lorain,10/10/2026,,10/10/2026,,True,,Lorain
Boys JV Football vs Shaker Hts,10/17/2026,,10/17/2026,,True,,Strongsville
Boys JV Football at Brunswick,10/24/2026,,10/24/2026,,True,,Brunswick
Boys Freshman Football at Highland,8/27/2026,,8/27/2026,,True,,Strongsville High School Football Stadium
Boys Freshman Football vs Olmsted Falls,9/3/2026,,9/3/2026,,True,,Olmsted Falls High School
Boys Freshman Football at Cleveland Heights,9/10/2026,,9/10/2026,,True,,Cleveland Heights High School
Boys Freshman Football vs Euclid,9/17/2026,,9/17/2026,,True,,Strongsville High School Football Stadium
Boys Freshman Football vs Avon Lake,8/20/2026,,8/20/2026,,True,,Strongsville High School Football Stadium
Boys Freshman Football vs Painesville RIverside,9/24/2026,,9/24/2026,,True,,Strongsville High School Football Stadium
Boys Freshman Football at Mentor,10/1/2026,,10/1/2026,,True,,Mentor High School
Boys Freshman Football at Lora,10/8/2026,,10/8/2026,,True,,Lorain High School
Boys Freshman Football at Shaker Heights,10/15/2026,,10/15/2026,,True,,Strongsville High School Football Stadium
Boys Freshman Football at Brunswick,10/22/2026,,10/22/2026,,True,,Brunswick High School
Boys Freshman Football vs Avon Lake,8/20/2026,,8/20/2026,,True,,Strongsville
Boys Freshman Football vs Benedictine,9/10/2026,,9/10/2026,,True,,Strongsville
Boys Freshman Football at Highland,8/27/2026,,8/27/2026,,True,,Highland
Boys Freshman Football vs Riverside,9/24/2026,,9/24/2026,,True,,Strongsville
Boys Freshman Football vs Olmsted Falls,9/3/2026,,9/3/2026,,True,,Strongsville
Boys Freshman Football vs Euclid,9/17/2026,,9/17/2026,,True,,Strongsville
Boys Freshman Football at Brunswick,10/22/2026,,10/22/2026,,True,,Brunswick
Boys Freshman Football at Mentor,10/1/2026,,10/1/2026,,True,,Mentor
Boys Freshman Football at Lorain,10/8/2026,,10/8/2026,,True,,Lorain
Boys Freshman Football vs Shaker Hts,10/15/2026,,10/15/2026,,True,,Strongsville
Boys 8th A Football at Lorain,9/15/2026,,9/15/2026,,True,,Johnnie Wilson Middle School
Boys 8th A Football vs Shore,9/22/2026,,9/22/2026,,True,,Strongsville
Boys 8th A Football at Shaker Hts,10/7/2026,,10/7/2026,,True,,Shaker MS
Boys 8th A Football at Brunswick,10/14/2026,,10/14/2026,,True,,Brunswick MS
Boys 8th A Football vs Riverside,8/18/2026,,8/18/2026,,True,,Strongsville
Boys 8th A Football at Memorial,8/26/2026,,8/26/2026,,True,,Memorial MS
Boys 8th A Football vs Euclid,9/1/2026,,9/1/2026,,True,,Strongsville
Boys 8th A Football vs Cleveland Hts,9/30/2026,,9/30/2026,,True,,Strongsville
Boys 8th B Football at Medina Highland,8/20/2026,,8/20/2026,,True,,Highland MS
Boys 8th B Football vs Bay,8/27/2026,,8/27/2026,,True,,Strongsville
Boys 8th B Football at Berea Midpark,9/9/2026,,9/9/2026,,True,,Berea Midpark MS
Boys 8th B Football vs Olmsted Falls,10/1/2026,,10/1/2026,,True,,Strongsville
Boys 7th A Football at Riverside,8/18/2026,,8/18/2026,,True,,Riverside Stadium
Boys 7th A Football vs Memorial,8/25/2026,,8/25/2026,,True,,Strongsville
Boys 7th A Football at Euclid,9/2/2026,,9/2/2026,,True,,Euclid MS
Boys 7th A Football vs Lorain,9/15/2026,,9/15/2026,,True,,Strongsville
Boys 7th A Football at Shore,9/23/2026,,9/23/2026,,True,,Shore MS
Boys 7th A Football at Cleveland Hts,9/30/2026,,9/30/2026,,True,,Roxboro MS
Boys 7th A Football vs Shaker Hts,10/7/2026,,10/7/2026,,True,,Strongsville
Boys 7th A Football vs Brunswick,10/14/2026,,10/14/2026,,True,,Strongsville
Boys 7th B Football vs Medina Highland,8/20/2026,,8/20/2026,,True,,Strongsville
Boys 7th B Football at Greenbriar,8/27/2026,,8/27/2026,,True,,Greenbriar MS
Boys 7th B Football at Berea Midpark,9/9/2026,,9/9/2026,,True,,Berea Midpark MS
Boys 7th B Football vs Medina,9/17/2026,,9/17/2026,,True,,Strongsville
Boys 7th B Football at Olmsted Falls,10/1/2026,,10/1/2026,,True,,OFMS
Boys Varsity Golf at Green Invite,8/17/2026,,8/17/2026,,True,,Ohio Prestwick CC
Boys Varsity Golf at SVSM Invite,8/20/2026,,8/20/2026,,True,,Goodpark GC
Boys Varsity Golf at Lake Invite,8/24/2026,,8/24/2026,,True,,Congress Lake CC
Boys Varsity Golf at GCC #2,8/27/2026,,8/27/2026,,True,,Goodpark GC
Boys Varsity Golf at Snowbelt Invite,8/29/2026,,8/29/2026,,True,,Meadville CC
Boys Varsity Golf at Snowbelt Invite,8/30/2026,,8/30/2026,,True,,Meadville CC
Boys Varsity Golf at Midview Invite,9/8/2026,,9/8/2026,,True,,Columbia Hills CC
Boys Varsity Golf at GCC #3,9/10/2026,,9/10/2026,,True,,Quail Hollow CC
Boys Varsity Golf at Wooster Invite,9/14/2026,,9/14/2026,,True,,Wooster CC
Boys Varsity Golf vs Strongsville Invite Day 1,9/20/2026,,9/20/2026,,True,,Weymouth CC
Boys Varsity Golf at Strongsville Invite Day 2,9/21/2026,,9/21/2026,,True,,Fox Meadow CC
Boys Varsity Golf at GCC #4,9/23/2026,,9/23/2026,,True,,Windmill Lakes GC
Boys Varsity Golf at North Ridgeville Invite,9/24/2026,,9/24/2026,,True,,Greyhawk GC
Boys Varsity Golf at Sectional Tournament,9/28/2026,,9/28/2026,,True,,Greyhawk GC
Boys Varsity Golf at District Tournament,10/5/2026,,10/5/2026,,True,,Pine Hills GC
Boys Varsity Golf at Brunswick,9/2/2026,,9/2/2026,,True,,Pine Hills GC
Boys Varsity Golf at Green Invite,8/17/2026,,8/17/2026,,True,,Prestwick Country Club
Boys Varsity Golf at Midview Invite,9/8/2026,,9/8/2026,,True,,Columbia Hills CC
Boys Varsity Golf at Lake Invite,8/24/2026,,8/24/2026,,True,,Congress Lake Country Club
Boys Varsity Golf at Wooster Invite,9/14/2026,,9/14/2026,,True,,Wooster Country Club
Boys Varsity Golf at GCC #2,8/27/2026,,8/27/2026,,True,,Goodpark GC
Boys Varsity Golf at Grove City Invite,9/19/2026,,9/19/2026,,True,,Pinnacle Golf Club
Boys Varsity Golf vs Strongsville Invite Day 1,9/20/2026,,9/20/2026,,True,,Weymouth Country Club
Boys Varsity Golf at GCC #3,9/10/2026,,9/10/2026,,True,,Quail Hollow Country Club
Boys Varsity Golf vs Strongsville Invite Day 2,9/21/2026,,9/21/2026,,True,,Fox Meadow Country Club
Boys Varsity Golf at GCC #4,9/23/2026,,9/23/2026,,True,,Windmill Lakes Golf Club
Boys Varsity Golf at North Ridgeville Invite,9/24/2026,,9/24/2026,,True,,Greyhawk GC
Boys Varsity Golf at SVSM Invite,8/20/2026,,8/20/2026,,True,,Goodpark GC
Boys Varsity Golf at Snowbelt Invite,8/29/2026,,8/29/2026,,True,,Meadville CC
Boys Varsity Golf at Brunswick (Scrim.),9/2/2026,,9/2/2026,,True,,Pine Hills GC
Boys Varsity Golf at Sectional Tournament,9/28/2026,,9/28/2026,,True,,Greyhawk GC
Boys Varsity Golf at District Tournament,10/5/2026,,10/5/2026,,True,,Pine Hills GC
Boys JV Golf at Hudson Invite,8/17/2026,,8/17/2026,,True,,Ohio Prestwick CC
Boys JV Golf vs Cleveland Heights,8/18/2026,,8/18/2026,,True,,Bunker Hill GC
Boys JV Golf at Highland,8/19/2026,,8/19/2026,,True,,Pleasant Valley GC
Boys JV Golf vs Mentor,8/25/2026,,8/25/2026,,True,,Bunker Hill GC
Boys JV Golf at SVSM,8/26/2026,12:00 AM,8/26/2026,3:00 AM,False,,Goodpark GC
Boys JV Golf at Wadsworth,8/31/2026,,8/31/2026,,True,,Pine Valley GC
Boys JV Golf vs North Royalton,9/1/2026,,9/1/2026,,True,,Bunker Hill GC
Boys JV Golf at Medina,9/2/2026,,9/2/2026,,True,,Fox Meadow CC
Boys JV Golf vs North Ridgeville,9/3/2026,,9/3/2026,,True,,Bunker Hill GC
Boys JV Golf at Shaker Heights,9/8/2026,,9/8/2026,,True,,Highland Park GC
Boys JV Golf vs Brunswick,9/10/2026,,9/10/2026,,True,,Bunker Hill GC
Boys JV Golf at Ashland Invite,9/11/2026,,9/11/2026,,True,,Ashland Brookside GC
Boys JV Golf at Bay,9/16/2026,,9/16/2026,,True,,Sweetbriar GC
Boys JV Golf at North Ridgeville Invite,9/21/2026,,9/21/2026,,True,,Fox Meadow CC
Boys JV Golf vs Lorain,9/22/2026,,9/22/2026,,True,,Bunker Hill GC
Boys JV Golf at GCC #2,9/23/2026,,9/23/2026,,True,,Windmill Lakes GC
Boys JV Golf vs Mentor,8/25/2026,,8/25/2026,,True,,Bunker Hill Golf Course
Boys JV Golf at Wadsworth,8/31/2026,,8/31/2026,,True,,Pine Valley Golf Club
Boys JV Golf at Hudson Inv.,8/17/2026,,8/17/2026,,True,,Country Club of Hudson
Boys JV Golf vs Cleveland Heights,8/18/2026,,8/18/2026,,True,,Bunker Hill Golf Course
Boys JV Golf at Medina,9/2/2026,,9/2/2026,,True,,Fox Meadow Country Club
Boys JV Golf vs North Ridgeville,9/3/2026,,9/3/2026,,True,,Bunker Hill Golf Course
Boys JV Golf vs North Royalton,9/1/2026,,9/1/2026,,True,,Bunker Hill Golf Course
Boys JV Golf vs Brunswick,9/10/2026,,9/10/2026,,True,,Bunker Hill Golf Course
Boys JV Golf at Ashland Invite,9/11/2026,,9/11/2026,,True,,Brookside Park
Boys JV Golf at Riverside,9/15/2026,,9/15/2026,,True,,Little Mountain Golf Course
Boys JV Golf at Shaker Hts,9/8/2026,,9/8/2026,,True,,Highland Golf Course
Boys JV Golf at North Ridgeville Inv.,9/21/2026,,9/21/2026,,True,,Fox Meadow CC
Boys JV Golf vs Lorain,9/22/2026,,9/22/2026,,True,,Bunker Hill Golf Course
Boys JV Golf at SVSM,8/26/2026,,8/26/2026,,True,,Goodpark Golf Course
Boys JV Golf at Bay,9/16/2026,,9/16/2026,,True,,Sweetbriar Golf Course
Boys JV Golf at GCC #2,9/23/2026,,9/23/2026,,True,,Windmill Lakes GC
Boys JV Golf at Highland,8/19/2026,,8/19/2026,,True,,Pleasant Valley GC
Boys Varsity Soccer vs Aurora,8/18/2026,,8/18/2026,,True,,Foltz Field
Boys Varsity Soccer at Olmsted Falls,8/20/2026,,8/20/2026,,True,,Olmsted Falls High School
Boys Varsity Soccer vs Highland,8/24/2026,,8/24/2026,,True,,Foltz Field
Boys Varsity Soccer vs Cleveland Heights,9/1/2026,,9/1/2026,,True,,Foltz Field
Boys Varsity Soccer at Detroit Central Catholic,9/5/2026,,9/5/2026,,True,,Detroit Central Catholic High School
Boys Varsity Soccer at Mentor,9/8/2026,,9/8/2026,,True,,Mentor High School
Boys Varsity Soccer at Glen Oak,9/12/2026,,9/12/2026,,True,,Glen Oak High School
Boys Varsity Soccer vs Shaker Heights,9/15/2026,,9/15/2026,,True,,Foltz Field
Boys Varsity Soccer at Lakewood,9/21/2026,,9/21/2026,,True,,Lakewood High School
Boys Varsity Soccer vs Lorain,9/22/2026,,9/22/2026,,True,,Foltz Field
Boys Varsity Soccer vs Berea Midpark,9/26/2026,,9/26/2026,,True,,Foltz Field
Boys Varsity Soccer at Brunswick,9/29/2026,,9/29/2026,,True,,Brunswick High School
Boys Varsity Soccer vs Fairview,10/3/2026,,10/3/2026,,True,,Foltz Field
Boys Varsity Soccer at Euclid,10/6/2026,,10/6/2026,,True,,Euclid High School
Boys Varsity Soccer at Findlay,10/10/2026,,10/10/2026,,True,,Findlay High School Football Stadium
Boys Varsity Soccer vs Painesville Riverside,10/13/2026,,10/13/2026,,True,,Foltz Field
Boys Varsity Soccer vs Highland,8/22/2026,,8/22/2026,,True,,Strongsville
Boys Varsity Soccer vs Oberlin,8/24/2026,,8/24/2026,,True,,Strongsville
Boys Varsity Soccer vs Cleveland Heights,9/1/2026,,9/1/2026,,True,,Strongsville
Boys Varsity Soccer vs Aurora,8/18/2026,,8/18/2026,,True,,Strongsville
Boys Varsity Soccer at Mentor,9/8/2026,,9/8/2026,,True,,Mentor
Boys Varsity Soccer vs Olmsted Falls,8/20/2026,,8/20/2026,,True,,Strongsville
Boys Varsity Soccer at GlenOak,9/12/2026,,9/12/2026,,True,,GlenOak
Boys Varsity Soccer vs Shaker Hts,9/15/2026,,9/15/2026,,True,,Strongsville
Boys Varsity Soccer at Lakewood,9/21/2026,,9/21/2026,,True,,Lakewood
Boys Varsity Soccer vs Lorain,9/22/2026,,9/22/2026,,True,,Strongsville
Boys Varsity Soccer vs Fairview,10/3/2026,,10/3/2026,,True,,Strongsville
Boys Varsity Soccer at Euclid,10/6/2026,,10/6/2026,,True,,Euclid
Boys Varsity Soccer vs Berea-Midpark,9/26/2026,,9/26/2026,,True,,Strongsville
Boys Varsity Soccer at Brunswick,9/29/2026,,9/29/2026,,True,,Brunswick
Boys Varsity Soccer at Findlay,10/10/2026,,10/10/2026,,True,,Findlay
Boys Varsity Soccer vs Riverside,10/13/2026,,10/13/2026,,True,,Strongsville
Boys Varsity Soccer at Detroit Central Catholic,9/5/2026,,9/5/2026,,True,,Detroit Central Catholic
Boys JV A Soccer vs Aurora,8/18/2026,,8/18/2026,,True,,Foltz Field
Boys JV A Soccer at Olmsted Falls,8/20/2026,,8/20/2026,,True,,Olmsted Falls High School
Boys JV A Soccer vs Highland,8/22/2026,,8/22/2026,,True,,Foltz Field
Boys JV A Soccer vs Oberlin,8/24/2026,,8/24/2026,,True,,Foltz Field
Boys JV A Soccer vs Cleveland Heights,9/1/2026,,9/1/2026,,True,,Foltz Field
Boys JV A Soccer at Detroit Central Catholic,9/5/2026,,9/5/2026,,True,,Detroit Central Catholic High School
Boys JV A Soccer at Mentor,9/8/2026,,9/8/2026,,True,,Mentor High School
Boys JV A Soccer vs Medina,9/10/2026,,9/10/2026,,True,,Foltz Field
Boys JV A Soccer at Glen Oak,9/12/2026,,9/12/2026,,True,,Glen Oak High School
Boys JV A Soccer vs Shaker Heights,9/15/2026,,9/15/2026,,True,,Foltz Field
Boys JV A Soccer at Lakewood,9/21/2026,,9/21/2026,,True,,Lakewood High School
Boys JV A Soccer vs Berea Midpark,9/26/2026,,9/26/2026,,True,,Foltz Field
Boys JV A Soccer at Brunswick,9/29/2026,,9/29/2026,,True,,Brunswick High School
Boys JV A Soccer vs Fairview,10/3/2026,,10/3/2026,,True,,Foltz Field
Boys JV A Soccer at Findlay,10/10/2026,,10/10/2026,,True,,Findlay HS
Boys JV A Soccer vs Painesville Riverside,10/13/2026,,10/13/2026,,True,,Foltz Field
Boys JV A Soccer vs Olmsted Falls,8/20/2026,,8/20/2026,,True,,Strongsville
Boys JV A Soccer vs Aurora,8/18/2026,,8/18/2026,,True,,Strongsville
Boys JV A Soccer vs Highland,8/22/2026,,8/22/2026,,True,,Strongsville
Boys JV A Soccer vs Oberlin,8/24/2026,,8/24/2026,,True,,Strongsville
Boys JV A Soccer vs Shaker Hts,9/15/2026,,9/15/2026,,True,,Strongsville
Boys JV A Soccer vs Cleveland Heights,9/1/2026,,9/1/2026,,True,,Strongsville
Boys JV A Soccer at Lakewood,9/21/2026,,9/21/2026,,True,,Lakewood
Boys JV A Soccer at Mentor,9/8/2026,,9/8/2026,,True,,Mentor
Boys JV A Soccer at GlenOak,9/12/2026,,9/12/2026,,True,,GlenOak
Boys JV A Soccer vs Fairview,10/3/2026,,10/3/2026,,True,,Strongsville
Boys JV A Soccer at Findlay,10/10/2026,,10/10/2026,,True,,Findlay
Boys JV A Soccer vs Berea-Midpark,9/26/2026,,9/26/2026,,True,,Strongsville
Boys JV A Soccer vs Riverside,10/13/2026,,10/13/2026,,True,,Strongsville
Boys JV A Soccer at Brunswick,9/29/2026,,9/29/2026,,True,,Brunswick
Boys JV A Soccer at Detroit Central Catholic,9/5/2026,,9/5/2026,,True,,Detroit Central Catholic
Boys JV A Soccer vs Medina,9/10/2026,,9/10/2026,,True,,Strongsville
Boys JV A Soccer at Euclid,10/6/2026,,10/6/2026,,True,,Euclid
Boys JV B Soccer vs Avon,8/17/2026,,8/17/2026,,True,,Post Office Fields
Boys JV B Soccer vs Walsh,9/3/2026,,9/3/2026,,True,,Post Office Fields
Boys JV B Soccer at Mentor,9/8/2026,,9/8/2026,,True,,Mentor High School
Boys JV B Soccer vs Medina,9/10/2026,,9/10/2026,,True,,Foltz Field
Boys JV B Soccer at Glen Oak,9/12/2026,,9/12/2026,,True,,Glen Oak High School
Boys JV B Soccer at Brunswick,9/29/2026,,9/29/2026,,True,,Brunswick High School
Boys JV B Soccer at Walsh Jesuit,9/30/2026,,9/30/2026,,True,,Walsh Jesuit High School
Boys JV B Soccer vs Brush,10/6/2026,,10/6/2026,,True,,Foltz Field
Boys JV B Soccer at Medina,10/8/2026,,10/8/2026,,True,,Medina High School
Boys JV B Soccer vs Highland,8/22/2026,,8/22/2026,,True,,Strongsville
Boys JV B Soccer at GlenOak,9/12/2026,,9/12/2026,,True,,GlenOak
Boys JV B Soccer at Brunswick,9/29/2026,,9/29/2026,,True,,Brunswick
Boys JV B Soccer vs Walsh Jesuit,9/3/2026,,9/3/2026,,True,,Strongsville
Boys JV B Soccer vs Medina,9/10/2026,,9/10/2026,,True,,Strongsville
Boys JV B Soccer vs Brush,10/6/2026,,10/6/2026,,True,,Strongsville
Boys JV B Soccer vs Brunswick,10/12/2026,,10/12/2026,,True,,Strongsville
Boys JV B Soccer vs Olmsted Falls,8/25/2026,,8/25/2026,,True,,Strongsville
Boys JV B Soccer at Mentor,9/8/2026,,9/8/2026,,True,,Mentor
Boys JV B Soccer at Highland,9/17/2026,,9/17/2026,,True,,Highland
Boys JV B Soccer at Walsh Jesuit,9/30/2026,,9/30/2026,,True,,Walsh Jesuit
Girls Varsity Cross Country at SPIRE Academy,8/29/2026,,8/29/2026,,True,,SPIRE Academy
Girls Varsity Cross Country at Multiple,9/5/2026,,9/5/2026,,True,,Garfield Park
Girls Varsity Cross Country at Mason High School,9/11/2026,,9/11/2026,,True,,Mason High School
Girls Varsity Cross Country at Boardman High School,9/19/2026,,9/19/2026,,True,,Boardman High School
Girls Varsity Cross Country vs Strongsville Inv.,9/26/2026,,9/26/2026,,True,,Strongsville
Girls Varsity Cross Country at Gilmour Academy Invitational,10/2/2026,,10/2/2026,,True,,Gilmour Academy Invitational
Girls Varsity Cross Country at Medina Cross Country Festival,10/10/2026,,10/10/2026,,True,,Medina Cross Country Festival
Girls Varsity Cross Country vs Greater Cleveland Conference,10/17/2026,,10/17/2026,,True,,Greater Cleveland Conference
Girls Varsity Cross Country at Boardman High School,10/31/2026,12:00 AM,10/31/2026,3:00 AM,False,,Boardman High School
Girls Middle School Cross Country at Keystone,8/24/2026,,8/24/2026,,True,,Equestrian Center
Girls Middle School Cross Country vs SHS,9/1/2026,,9/1/2026,,True,,Strongsville
Girls Middle School Cross Country at Open Door Christian Invitational,9/8/2026,,9/8/2026,,True,,LCCC
Girls Middle School Cross Country at Avon Invitational,9/10/2026,,9/10/2026,,True,,Vets
Girls Middle School Cross Country vs Strongsville Invitational,9/26/2026,,9/26/2026,,True,,Strongsville
Girls Middle School Cross Country at Mentor,9/29/2026,,9/29/2026,,True,,Garfield Park
Girls Middle School Cross Country vs SMS,10/6/2026,,10/6/2026,,True,,Strongsville
Girls Middle School Cross Country at GCC Championship,10/17/2026,,10/17/2026,,True,,Mentor HS
Girls Varsity Golf at Brunswick Invite,8/21/2026,,8/21/2026,,True,,Shawnee Hills
Girls Varsity Golf at Highland,8/26/2026,,8/26/2026,,True,,Pine Hills
Girls Varsity Golf at GCC #3,8/27/2026,,8/27/2026,,True,,Tanglewood
Girls Varsity Golf at Avon Tournament,8/31/2026,,8/31/2026,,True,,Oberlin CC
Girls Varsity Golf at Rocky River,9/1/2026,,9/1/2026,,True,,Little Met
Girls Varsity Golf at St. Joe's,9/2/2026,,9/2/2026,,True,,Big Met
Girls Varsity Golf at Laurel Invite,9/8/2026,,9/8/2026,,True,,Canterbury
Girls Varsity Golf at Rocky River Invite,9/9/2026,,9/9/2026,,True,,Big Met
Girls Varsity Golf at Medina Invite,9/10/2026,,9/10/2026,,True,,Fox Meadows
Girls Varsity Golf at Medina,9/14/2026,,9/14/2026,,True,,Fox Meadows
Girls Varsity Golf vs Hudson,9/15/2026,,9/15/2026,,True,,Valleaire
Girls Varsity Golf at GCC #4,9/21/2026,,9/21/2026,,True,,Fox Den
Girls JV Golf vs Brunswick,8/19/2026,,8/19/2026,,True,,Valleaire
Girls JV Golf at Mentor,8/24/2026,,8/24/2026,,True,,Blackbrook
Girls JV Golf vs Highland,8/26/2026,,8/26/2026,,True,,Valleaire
Girls JV Golf at North Royalton,8/31/2026,,8/31/2026,,True,,Briarwood
Girls JV Golf vs Lorain,9/2/2026,,9/2/2026,,True,,Valleaire
Girls JV Golf at Brunswick JV Invite,9/8/2026,,9/8/2026,,True,,CopperTop
Girls JV Golf at Rocky River,9/14/2026,,9/14/2026,,True,,Mastick Woods
Girls JV Golf at Riverside,9/15/2026,,9/15/2026,,True,,Painesville County Club
Girls JV Golf vs Medina,9/16/2026,,9/16/2026,,True,,Valleaire
Girls JV Golf at GCC Postseason,9/17/2026,,9/17/2026,,True,,Blackbrook
Girls JV Golf at Highland,9/21/2026,,9/21/2026,,True,,Pleasant Valley
Girls JV Golf vs BBHS,9/22/2026,,9/22/2026,,True,,Valleaire
Girls JV Golf vs North Royalton,9/23/2026,,9/23/2026,,True,,Valleaire
Girls Varsity Soccer at GlenOak,8/17/2026,,8/17/2026,,True,,GlenOak
Girls Varsity Soccer at Massillon Jackson,8/22/2026,,8/22/2026,,True,,Massillon Jackson
Girls Varsity Soccer vs Magnificat,8/26/2026,,8/26/2026,,True,,Strongsville
Girls Varsity Soccer at Avon,8/29/2026,,8/29/2026,,True,,Avon
